ROM;Clone of;Name;Year;Status;Comment
mslug3;;Metal Slug 3;2000;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
mslugx;;Metal Slug X - Super Vehicle-001;1999;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
mt_beast;;Altered Beast (Mega-Tech);1988;incompatible;"1 differences (incompatible): 
 - rom [epr12664.20] missing"
mt_revsh;;The Revenge of Shinobi (Mega-Tech);1989;incompatible;"1 differences (incompatible): 
 - rom [epr12664.20] missing"
mvsc;;Marvel Vs. Capcom: Clash of Super Heroes (Euro 980112);1998;incompatible;"10 differences (incompatible): 
 - rom [mvcux.04d] wrong name (mvcux.04d/expected: mvsex.03)
 - rom [mvcux.03d] wrong name (mvcux.03d/expected: mvsex.04)
 - rom [mvc.05a] unnecessary
 - rom [mvc.06a] unnecessary
 - rom [mvcu.03d] unnecessary
 - rom [mvcu.04d] unnecessary
 - rom [mvce.03] missing
 - rom [mvce.04] missing
 - rom [mvc.05] missing
 - rom [mvc.06] missing"
neobombe;;Neo Bomberman;1997;incompatible;"14 differences (incompatible): 
 - rom [093-v1.bin] wrong CRC (43057e99/expected: 02abd4b0)
 - rom [093-c2.bin] wrong CRC (41e62b4f/expected: 82c49540)
 - rom [093-c1.bin] wrong CRC (b90ebed4/expected: d1f328f8)
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
neodrift;;Neo Drift Out - New Technology;1996;incompatible;"13 differences (incompatible): 
 - rom [213-c2.bin] wrong CRC (9dc9c72a/expected: 46ae5f16)
 - rom [213-c1.bin] wrong CRC (62c5edc9/expected: 3edc8bd3)
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
neogeo;;Neo-Geo;1990;matches;"matches"
neomrdo;;Neo Mr. Do!;1996;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
nitd;;Nightmare in the Dark;2000;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
nslasher;;Night Slashers (Korea Rev 1.3);1994;matches;"matches"
offroad;;Ironman Stewart's Super Off-Road;1989;matches;"matches"
oneshot;;One Shot One Kill;0;matches;"matches"
opwolf;;Operation Wolf (World);1987;incompatible;"3 differences (incompatible): 
 - rom [opwlfb.09] unnecessary
 - rom [opwlf.29] unnecessary
 - rom [b20-20.29] missing"
othundu;othunder;Operation Thunderbolt (US);1988;incompatible;"11 differences (incompatible): 
 - rom [b67-14.61] missing
 - rom [b67-15.62] missing
 - rom [b67-13.40] missing
 - rom [b67-06.66] missing
 - rom [b67-01] missing
 - rom [b67-02] missing
 - rom [b67-03] missing
 - rom [b67-04] missing
 - rom [b67-05.43] missing
 - rom [b67-08] missing
 - rom [b67-07] missing"
outrun;;Out Run (set 3);1986;incompatible;"45 differences (incompatible): 
 - rom [10371] unnecessary
 - rom [10372] unnecessary
 - rom [10373] unnecessary
 - rom [10374] unnecessary
 - rom [10375] unnecessary
 - rom [10376] unnecessary
 - rom [10377] unnecessary
 - rom [10378] unnecessary
 - rom [epr10380a.133] unnecessary
 - rom [epr10382a.118] unnecessary
 - rom [epr10383a.117] unnecessary
 - rom [a-33.bin] unnecessary
 - rom [a-18.bin] unnecessary
 - rom [a-26.bin] unnecessary
 - rom [a-27.bin] unnecessary
 - rom [a-28.bin] unnecessary
 - rom [a-19.bin] unnecessary
 - rom [orun_20.rom] unnecessary
 - rom [a-30.bin] unnecessary
 - rom [a-31.bin] unnecessary
 - rom [a-32.bin] unnecessary
 - rom [a-20.bin] unnecessary
 - rom [a-21.bin] unnecessary
 - rom [a-22.bin] unnecessary
 - rom [a-23.bin] unnecessary
 - rom [a-24.bin] unnecessary
 - rom [a-25.bin] unnecessary
 - rom [orun_ma.rom] unnecessary
 - rom [a-3.bin] unnecessary
 - rom [a-11.bin] unnecessary
 - rom [a-7.bin] unnecessary
 - rom [a-8.bin] unnecessary
 - rom [a-13.bin] unnecessary
 - rom [orun_ml.rom] unnecessary
 - rom [a-14.bin] unnecessary
 - rom [a-10.bin] unnecessary
 - rom [mpr10371.9] missing
 - rom [mpr10373.10] missing
 - rom [mpr10375.11] missing
 - rom [mpr10377.12] missing
 - rom [mpr10372.13] missing
 - rom [mpr10374.14] missing
 - rom [mpr10376.15] missing
 - rom [mpr10378.16] missing
 - rom [opr10186.47] missing"
pacnpal;;Pac & Pal;1983;incompatible;"2 differences (incompatible): 
 - rom [PAPI3.CPU] unnecessary
 - rom [pap1-3.3m] missing"
pang;;Pang (World);1989;compatible;"11 differences (compatible): 
 - rom [bb2.bin] unnecessary
 - rom [bb4.bin] unnecessary
 - rom [bb6.bin] unnecessary
 - rom [bb7.bin] unnecessary
 - rom [pang_02.bin] unnecessary
 - rom [pang_03.bin] unnecessary
 - rom [pang_04.bin] unnecessary
 - rom [pwj_07.13h] unnecessary
 - rom [pw_02.1e] unnecessary
 - rom [pwj_06.11h] unnecessary
 - rom [pwj_04.1g] unnecessary"
paperboy;;Paperboy (rev 3);1984;incompatible;"2 differences (incompatible): 
 - rom [cpu_a02.rv2] unnecessary
 - rom [cpu_a02.rv3] missing"
passht4b;passsht;Passing Shot (4 Players) (bootleg);1988;incompatible;"6 differences (incompatible): 
 - rom [opr11862.b1] missing
 - rom [opr11865.b5] missing
 - rom [opr11863.b2] missing
 - rom [opr11866.b6] missing
 - rom [opr11864.b3] missing
 - rom [opr11867.b7] missing"
pbobbl2n;;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);1999;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
pbobble2;;Puzzle Bobble 2 (Ver 2.2O 1995/07/20);1995;matches;"matches"
pbobble3;;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);1996;matches;"matches"
pbobble4;;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);1997;matches;"matches"
pbobblen;;Puzzle Bobble / Bust-A-Move (Neo-Geo) (set 1);1994;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
pgoal;;Pleasure Goal / Futsal - 5 on 5 Mini Soccer;1996;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
pigskin;;Pigskin 621AD;1990;matches;"matches"
polepos;;Pole Position;1982;incompatible;"7 differences (incompatible): 
 - rom [136014.105] unnecessary
 - rom [136014.131] unnecessary
 - rom [pp1_9b.6h] missing
 - rom [136014.231] missing
 - rom [136014.135] missing
 - rom [136014.136] missing
 - rom [pp1_14.1f] missing"
polepos2;;Pole Position II;1983;incompatible;"8 differences (incompatible): 
 - rom [014-110.rom] unnecessary
 - rom [014-111.rom] unnecessary
 - rom [131.11n] unnecessary
 - rom [136014.231] missing
 - rom [136014.135] missing
 - rom [136014.136] missing
 - rom [136014.181] missing
 - rom [136014.182] missing"
pow;;P.O.W. - Prisoners of War (US);1988;compatible;"1 differences (compatible): 
 - rom [pal20l10.a6] unnecessary"
preisle2;;Prehistoric Isle 2;1999;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
primglex;;Prime Goal EX (PG1/VER.A);1996;incompatible;"1 differences (incompatible): 
 - rom [pr1data.8k] missing"
progear;;Progear (US 010117);2001;matches;"matches"
pspikes2;;Power Spikes II;1994;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
psychic5;;Psychic 5;1987;matches;"matches"
pulstar;;Pulstar;1995;incompatible;"17 differences (incompatible): 
 - rom [089-c6.bin] wrong CRC (dc32f2b4/expected: b2594d56)
 - rom [089-c5.bin] wrong CRC (6fe9259c/expected: 89baa1d7)
 - rom [089-c4.bin] wrong CRC (3b9e288f/expected: 44cef0e3)
 - rom [089-c3.bin] wrong CRC (21ef41d7/expected: 913611c4)
 - rom [089-c2.bin] wrong CRC (260e9d4d/expected: 836d14da)
 - rom [089-c1.bin] wrong CRC (63020fc6/expected: f4e97332)
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
punisher;;The Punisher (World 930422);1993;matches;"matches"
pwrgoal;;Taito Power Goal (Ver 2.5O 1994/11/03);1994;matches;"matches"
qbert;;Q*bert (US set 1);1982;matches;"matches"
raiden2;;Raiden 2 (set 1, US Fabtek);1993;matches;"matches"
rampage;;Rampage (revision 3);1986;matches;"matches"
rampart;;Rampart (Trackball);1990;compatible;"12 differences (compatible): 
 - rom [10192n.rom] unnecessary
 - rom [205013h.rom] unnecessary
 - rom [205113kl.rom] unnecessary
 - rom [1462.bin] unnecessary
 - rom [1463.bin] unnecessary
 - rom [1464.bin] unnecessary
 - rom [1465.bin] unnecessary
 - rom [1466.bin] unnecessary
 - rom [1467.bin] unnecessary
 - rom [2419.bin] unnecessary
 - rom [3450.bin] unnecessary
 - rom [3451.bin] unnecessary"
raystorm;;Ray Storm (Ver 2.06A);1996;incompatible;"5 differences (incompatible): 
 - rom [e24-06.3] unnecessary
 - rom [e24-05.4] unnecessary
 - rom [coh-1000t.353] missing
 - rom [raystorm.ic4] missing
 - rom [raystorm.ic3] missing"
rbff2;;Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - the newcomers (set 1);1998;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
redlin2p;;Redline Racer (2 players);1987;matches;"matches"
renegade;;Renegade (US);1986;compatible;"24 differences (compatible): 
 - rom [ta18-01.bin] unnecessary
 - rom [ta18-02.bin] unnecessary
 - rom [ta18-03.bin] unnecessary
 - rom [ta18-04.bin] unnecessary
 - rom [ta18-06.bin] unnecessary
 - rom [ta18-07.bin] unnecessary
 - rom [ta18-08.bin] unnecessary
 - rom [ta18-09.bin] unnecessary
 - rom [ta18-10.bin] unnecessary
 - rom [ta18-11.bin] unnecessary
 - rom [ta18-13.bin] unnecessary
 - rom [ta18-14.bin] unnecessary
 - rom [ta18-15.bin] unnecessary
 - rom [ta18-16.bin] unnecessary
 - rom [ta18-17.bin] unnecessary
 - rom [ta18-18.bin] unnecessary
 - rom [ta18-19.bin] unnecessary
 - rom [ta18-20.bin] unnecessary
 - rom [ta18-21.bin] unnecessary
 - rom [ta18-22.bin] unnecessary
 - rom [ta18-23.bin] unnecessary
 - rom [ta18-24.bin] unnecessary
 - rom [ta18-25.bin] unnecessary
 - rom [nb-01.bin] unnecessary"
roadrunn;;Road Runner (rev 2);1985;matches;"matches"
roboarmy;;Robo Army (set 1);1991;incompatible;"13 differences (incompatible): 
 - rom [032-m1h.bin] unnecessary
 - rom [032-p1h.bin] unnecessary
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
robocop;;Robocop (World revision 4);1988;compatible;"2 differences (compatible): 
 - rom [ep05-3] unnecessary
 - rom [ep01-3] unnecessary"
robocp2j;robocop2;Robocop 2 (Japan v0.11);1991;incompatible;"12 differences (incompatible): 
 - rom [mah-04.z4] missing
 - rom [mah-03.y4] missing
 - rom [mah-01.z1] missing
 - rom [mah-00.y1] missing
 - rom [mah-02.a1] missing
 - rom [mah-05.y9] missing
 - rom [mah-08.y12] missing
 - rom [mah-06.z9] missing
 - rom [mah-09.z12] missing
 - rom [mah-07.a9] missing
 - rom [mah-10.a12] missing
 - rom [mah-11.f13] missing"
rthunder;;Rolling Thunder (new version);1986;matches;"matches"
rtype2;;R-Type II;1989;compatible;"4 differences (compatible): 
 - rom [rt2-a-h0.54] unnecessary
 - rom [rt2-a-h1.53] unnecessary
 - rom [rt2-a-l0.60] unnecessary
 - rom [rt2-a-l1.59] unnecessary"
rtypeleo;;R-Type Leo (World);1992;matches;"matches"
rygar;;Rygar (US set 1);1986;matches;"matches"
s1945;;Strikers 1945;1995;incompatible;"1 differences (incompatible): 
 - rom [4-u59.bin] missing"
samsho;;Samurai Shodown / Samurai Spirits;1993;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
sbbros;spang;Super Buster Bros. (US 901001);1990;incompatible;"2 differences (incompatible): 
 - rom [03.f2] missing
 - rom [05.g2] missing"
scontra;;Super Contra;1988;compatible;"2 differences (compatible): 
 - rom [775-f02.bin] unnecessary
 - rom [775-f03.bin] unnecessary"
sengekij;sengekis;Sengeki Striker (Japan);1997;incompatible;"9 differences (incompatible): 
 - rom [sknsj1.u10] missing
 - rom [ss100-00.u21] missing
 - rom [ss101-00.u20] missing
 - rom [ss102-00.u8] missing
 - rom [ss103-00.u32] missing
 - rom [ss200-00.u17] missing
 - rom [ss201-00.u9] missing
 - rom [ss210-00.u3] missing
 - rom [ss300-00.u1] missing"
sf;;Street Fighter (World);1987;matches;"matches"
sf2;;Street Fighter II - The World Warrior (World 910522);1991;compatible;"52 differences (compatible): 
 - rom [sf2e_37b.rom] unnecessary
 - rom [sf2j28.bin] unnecessary
 - rom [sf2j30.bin] unnecessary
 - rom [sf2j31.bin] unnecessary
 - rom [sf2j35.bin] unnecessary
 - rom [sf2j37.bin] unnecessary
 - rom [sf2j38.bin] unnecessary
 - rom [sf2u.38e] unnecessary
 - rom [sf2u.30a] unnecessary
 - rom [sf2u.31a] unnecessary
 - rom [sf2u.35a] unnecessary
 - rom [sf2u.37a] unnecessary
 - rom [sf2u.38a] unnecessary
 - rom [sf2u.37b] unnecessary
 - rom [sf2u.28e] unnecessary
 - rom [sf2u.30e] unnecessary
 - rom [sf2u.31e] unnecessary
 - rom [sf2u.35e] unnecessary
 - rom [sf2u.37e] unnecessary
 - rom [sf2u.28a] unnecessary
 - rom [sf2u.28i] unnecessary
 - rom [sf2u.35i] unnecessary
 - rom [sf2u.37i] unnecessary
 - rom [sf2u.38i] unnecessary
 - rom [sf2j_37a.bin] unnecessary
 - rom [sf2_35c.bin] unnecessary
 - rom [sf2_38c.bin] unnecessary
 - rom [sf2_30c.bin] unnecessary
 - rom [sf2_28c.bin] unnecessary
 - rom [sf2j_37c.bin] unnecessary
 - rom [sf2_31c.bin] unnecessary
 - rom [sf2_35a.bin] unnecessary
 - rom [sf2_38a.bin] unnecessary
 - rom [sf2_28a.bin] unnecessary
 - rom [sf2_31a.bin] unnecessary
 - rom [sf2_30a.bin] unnecessary
 - rom [sf2u.28f] unnecessary
 - rom [sf2u.35f] unnecessary
 - rom [sf2u.37f] unnecessary
 - rom [sf2u.38f] unnecessary
 - rom [sf2u.28d] unnecessary
 - rom [sf2u.30d] unnecessary
 - rom [sf2u.31d] unnecessary
 - rom [sf2u.35d] unnecessary
 - rom [sf2u.37d] unnecessary
 - rom [sf2u.38d] unnecessary
 - rom [sf2u.35k] unnecessary
 - rom [sf2u.28k] unnecessary
 - rom [sf2u.38k] unnecessary
 - rom [sf2u.30k] unnecessary
 - rom [sf2u.31k] unnecessary
 - rom [sf2u.37k] unnecessary"
sf2049;;San Francisco Rush 2049;1998;compatible;"1 differences (compatible): 
 - rom [vegassio.bin] unnecessary"
sf2ce;;Street Fighter II' - Champion Edition (World 920313);1992;matches;"matches"
sfa2;;Street Fighter Alpha 2 (US 960306);1996;incompatible;"2 differences (incompatible): 
 - rom [sz2ux.03] missing
 - rom [sz2ux.04] missing"
sfa3;;Street Fighter Alpha 3 (US 980904);1998;matches;"matches"
sfiii;;Street Fighter III: New Generation;1997;matches;"matches"
sfiii3;;Street Fighter III 3rd Strike: Fight for the Future;1999;matches;"matches"
sgemf;;Super Gem Fighter Mini Mix (US 970904);1997;matches;"matches"
