# name|cloneof|title|category|manufacturer|year|titleImg|snapImg
005||005|Maze / Shooter Small|Sega|1981|005|005
11beat||Eleven Beat|Unplayable|Hudson|1998||
1941||1941: Counter Attack (World 900227)|Shooter / Flying Vertical|Capcom|1990|1941|1941
1941j|1941|1941: Counter Attack (Japan)|Shooter / Flying Vertical|Capcom|1990|1941|1941
1942||1942 (Revision B)|Shooter / Flying Vertical|Capcom|1984|1942|1942
1942a|1942|1942 (Revision A)|Shooter / Flying Vertical|Capcom|1984|1942|1942
1942b|1942|1942 (First Version)|Shooter / Flying Vertical|Capcom|1984|1942|1942
1943||1943: The Battle of Midway (Euro)|Shooter / Flying Vertical|Capcom|1987|1943|1943
1943j|1943|1943: Midway Kaisen (Japan, Rev B)|Shooter / Flying Vertical|Capcom|1987|1943|1943
1943kai||1943 Kai: Midway Kaisen (Japan)|Shooter / Flying Vertical|Capcom|1987|1943kai|1943kai
1944||1944: The Loop Master (USA 000620)|Shooter / Flying Vertical|Eighting / Raizing (Capcom license)|2000|1944|1944
1944j|1944|1944: The Loop Master (Japan 000620)|Shooter / Flying Vertical|Eighting / Raizing (Capcom license)|2000|1944|1944
1945kiii||1945k III|Shooter / Flying Vertical|Oriental Soft|2000|1945kiii|1945kiii
19xx||19XX: The War Against Destiny (USA 951207)|Shooter / Flying Vertical|Capcom|1996|19xx|19xx
19xxa|19xx|19XX: The War Against Destiny (Asia 951207)|Shooter / Flying Vertical|Capcom|1996|19xx|19xx
19xxh|19xx|19XX: The War Against Destiny (Hispanic 951218)|Shooter / Flying Vertical|Capcom|1996|19xx|19xx
19xxj|19xx|19XX: The War Against Destiny (Japan 951225)|Shooter / Flying Vertical|Capcom|1996|19xx|19xx
19xxjr1|19xx|19XX: The War Against Destiny (Japan 951207)|Shooter / Flying Vertical|Capcom|1996|19xx|19xx
2020bb||2020 Super Baseball (set 1)|Sports / Baseball|SNK / Pallas|1991|2020bb|2020bb
2020bba|2020bb|2020 Super Baseball (set 2)|Sports / Baseball|SNK / Pallas|1991|2020bb|2020bb
2020bbh|2020bb|2020 Super Baseball (set 3)|Sports / Baseball|SNK / Pallas|1991|2020bb|2020bb
280zzzap||Datsun 280 Zzzap|Driving / 1st Person|Midway|1976|280zzzap|280zzzap
3countb||3 Count Bout / Fire Suplex (NGM-043)(NGH-043)|Wrestling|SNK|1993|3countb|3countb
3in1semi||XESS - The New Revolution (SemiCom 3-in-1)|Multiplay|SemiCom|1997|3in1semi|3in1semi
3kokushi||Sankokushi (Japan)|Puzzle / Match|Mitchell|1996|3kokushi|3kokushi
3stooges||The Three Stooges In Brides Is Brides|Shooter / Field|Mylstar|1984|3stooges|3stooges
3wonders||Three Wonders (World 910520)|Multiplay|Capcom|1991|3wonders|3wonders
40love||Forty-Love|Sports / Tennis|Taito Corporation|1984|40love|40love
47pie2||Idol Janshi Su-Chi-Pie 2 (v1.1)|Tabletop / Mahjong|Jaleco|1994|47pie2|47pie2
47pie2o|47pie2|Idol Janshi Su-Chi-Pie 2 (v1.0)|Tabletop / Mahjong|Jaleco|1994|47pie2|47pie2
4dwarrio||4-D Warriors (315-5162)|Shooter / Flying Horizontal|Coreland / Sega|1985|4dwarrio|4dwarrio
4enraya||4 En Raya|Tabletop|IDSA|1990|4enraya|4enraya
4in1||4 Fun in 1|Multiplay|Armenia / Food and Fun|1981|4in1|4in1
4in1boot||Puzzle King (includes bootleg of Snow Bros.)|Multiplay|K1 Soft|2002||
4psimasy||Mahjong 4P Simasyo (Japan)|Tabletop / Mahjong|Sphinx / AV Japan|1994||4psimasy
600|turtles|600|Maze|Konami|1981|turtles|turtles
64street||64th. Street - A Detective Story (World)|Fighter / 2.5D|Jaleco|1991|64street|64street
720||720 Degrees (rev 4)|Sports / Skateboarding|Atari Games|1986|720|720
720g|720|720 Degrees (German, rev 2)|Sports / Skateboarding|Atari Games|1986|720|720
720gr1|720|720 Degrees (German, rev 1)|Sports / Skateboarding|Atari Games|1986|720|720
720r1|720|720 Degrees (rev 1)|Sports / Skateboarding|Atari Games|1986|720|720
720r2|720|720 Degrees (rev 2)|Sports / Skateboarding|Atari Games|1986|720|720
720r3|720|720 Degrees (rev 3)|Sports / Skateboarding|Atari Games|1986|720|720
7jigen||7jigen no Youseitachi - Mahjong 7 Dimensions (Japan)|Tabletop / Mahjong|Dynax|1990|7jigen|7jigen
7toitsu|mgakuen|Chi-Toitsu|Tabletop / Mahjong|Yuga|1988|mgakuen|mgakuen
800fath|mariner|800 Fathoms|Shooter / Misc. Horizontal|Amenip (US Billiards Inc. license)|1981|mariner|mariner
88games||'88 Games|Sports / Track & Field|Konami|1988|88games|88games
8ball||Video Eight Ball|Sports / Pool|Century Electronics|1982|8ball|8ball
8ball1|8ball|Video Eight Ball (Rev.1)|Sports / Pool|Century Electronics|1982|8ball|8ball
8ballact||Eight Ball Action (DK conversion)|Sports / Pool|Seatongrove Ltd (Magic Eletronics USA license)|1984|8ballact|8ballact
8bpm|8ballact|Eight Ball Action (Pac-Man conversion)|Sports / Pool|Seatongrove Ltd (Magic Eletronics USA license)|1985|8ballact|8ballact
99lstwar|repulse|'99: The Last War (set 1)|Shooter / Gallery|Sega (Proma license)|1985||
9ballsht||9-Ball Shootout (set 1)|Sports / Pool|E-Scape EnterMedia (Bundra license)|1993||
a51mxr3k|area51mx|Area 51 / Maximum Force Duo (R3000)|Shooter / Gun|Atari Games|1998|area51mx|area51mx
a51site4||Area 51: Site 4 (HD Rev 2.01, September 7, 1998)||Atari Games|1998||
aafb||All American Football (rev E)|Sports / Football Amer.|Leland Corp.|1989|aafb|aafb
aafbb|aafb|All American Football (rev B)|Sports / Football Amer.|Leland Corp.|1989|aafb|aafb
aafbc|aafb|All American Football (rev C)|Sports / Football Amer.|Leland Corp.|1989|aafb|aafb
aafbd2p|aafb|All American Football (rev D, 2 Players)|Sports / Football Amer.|Leland Corp.|1989|aafb|aafb
abaseb||Atari Baseball (set 1)|Sports / Baseball|Atari|1979|abaseb|abaseb
abaseb2|abaseb|Atari Baseball (set 2)|Sports / Baseball|Atari|1979|abaseb|abaseb
abattle|astrof|Astro Battle (set 1)|Shooter / Gallery|bootleg? (Sidam)|1979|astrof|astrof
abattle2|astrof|Astro Battle (set 2)|Shooter / Gallery|bootleg? (Sidam)|1979|astrof|astrof
abcop||A.B. Cop (World, FD1094 317-0169b)|Driving / Race (chase view) Bike|Sega|1990||
abscam|puckman|Abscam||GL (US Billiards license)|1981|puckman|puckman
abunai||Abunai Houkago - Mou Matenai (Japan 890325)|Tabletop / Hanafuda|Green Soft|1989||abunai
aburner|aburner2|After Burner (Japan)|Shooter / Flying (chase view)|Sega|1987|aburner2|aburner2
aburner2||After Burner II|Shooter / Flying (chase view)|Sega|1987|aburner2|aburner2
ace||Ace|Shooter / Field|Allied Leisure|1976|ace|ace
aceattac||Ace Attacker (FD1094 317-0059)|Unplayable|Sega|1988|aceattac|aceattac
acedrvrw||Ace Driver: Racing Evolution (Rev. AD2)|Driving / Race (chase view)|Namco|1994|acedrvrw|acedrvrw
acitya|bwcasino|Atlantic City Action|Casino|Epos Corporation|1983|bwcasino|bwcasino
acombat|astrof|Astro Combat (newer, CB)|Shooter / Gallery|bootleg|1979|astrof|astrof
acommand||Alien Command|Unplayable|Jaleco|1994||acommand
acpsx||Acclaim PSX|BIOS|Acclaim|1995||
acrobatm||Acrobat Mission|Shooter / Flying Vertical|UPL (Taito license)|1991|acrobatm|acrobatm
actfancr||Act-Fancer Cybernetick Hyper Weapon (World revision 2)|Platform / Shooter Scrolling|Data East Corporation|1989|actfancr|actfancr
actionhw||Action Hollywood||TCH|1995||
ad2083||A. D. 2083||Midcoin|1983||
aerfboot|aerofgt|Aero Fighters (bootleg set 1)||bootleg|1992|aerofgt|aerofgt
aeroboto|formatz|Aeroboto|Shooter / Misc. Horizontal|Jaleco (Williams license)|1984|formatz|formatz
aerofgt||Aero Fighters|Shooter / Flying Vertical|Video System Co.|1992|aerofgt|aerofgt
aerofgtb|aerofgt|Aero Fighters (Turbo Force hardware set 1)|Shooter / Flying Vertical|Video System Co.|1992|aerofgt|aerofgt
aerofgtc|aerofgt|Aero Fighters (Turbo Force hardware set 2)|Shooter / Flying Vertical|Video System Co.|1992|aerofgt|aerofgt
afighter||Action Fighter (FD1089A 317-0018)|Shooter / Misc. Vertical|Sega|1986|afighter|afighter
afire|astrof|Astro Fire|Shooter / Gallery|bootleg (Rene Pierre)|1979|astrof|astrof
agallet||Air Gallet (Europe)|Shooter / Flying Vertical|Banpresto / Gazelle|1996|agallet|agallet
agress||Agress|Puzzle / Sliding|Palco|1991|agress|agress
agressb|agress|Agress (English bootleg)||bootleg|2003|agress|agress
ainferno||Air Inferno (US)|Shooter / Flying 1st Person|Taito America Corporation|1990|ainferno|ainferno
airattck||Air Attack (set 1)||Comad|1996||
airbustr||Air Buster: Trouble Specialty Raid Unit (World)|Shooter / Flying Horizontal|Kaneko (Namco license)|1990|airbustr|airbustr
airco22b||Air Combat 22 (Rev. ACS1 Ver.B, Japan)|Shooter / Flying 1st Person|Namco|1995|airco22b|airco22b
aircomb||Air Combat (US)||Namco|1992||
aircombj|aircomb|Air Combat (Japan)|Shooter / Flying 1st Person|Namco|1992|aircombj|aircombj
airduel||Air Duel (Japan)|Shooter / Flying Vertical|Irem|1990|airduel|airduel
airraid|cshooter|Air Raid (encrypted)|Shooter / Flying Vertical|Seibu Kaihatsu|1987|cshooter|cshooter
airwolf||Airwolf|Shooter / Flying Horizontal|Kyugo|1987|airwolf|airwolf
ajax||Ajax|Shooter / Flying Vertical|Konami|1987|ajax|ajax
ajaxj|ajax|Ajax (Japan)|Shooter / Flying Vertical|Konami|1987|ajax|ajax
akiss||Mahjong Angel Kiss|Tabletop / Mahjong|Jaleco|1995|akiss|akiss
akkanvdr|spcinv95|Akkanbeder (Ver 2.5J 1995/06/14)|Shooter / Gallery|Taito Corporation|1995|spcinv95|spcinv95
alcon||Alcon (US)|Shooter / Flying Vertical|Toaplan / Taito America Corp.|1986||
alexkidd||Alex Kidd: The Lost Stars (set 2, unprotected)|Platform / Run Jump Scrolling|Sega|1986|alexkidd|alexkidd
alibaba||Ali Baba and 40 Thieves|Maze|Sega|1982|alibaba|alibaba
alien3||Alien3: The Gun (World)|Shooter / Gun|Sega|1993|alien3|alien3
alien3u|alien3|Alien3: The Gun (US)||Sega|1993|alien3|alien3
alienar||Alien Arena||Duncan Brown|1985||
alienaru|alienar|Alien Arena (Stargate upgrade)||Duncan Brown|1985||
alieninv|invaders|Alien Invasion|Shooter / Gallery|bootleg (Margamatics)|1969|invaders|invaders
aliens||Aliens (World set 1)|Platform / Shooter Scrolling|Konami|1990|aliens|aliens
aliens2|aliens|Aliens (World set 2)|Platform / Shooter Scrolling|Konami|1990|aliens|aliens
aliens3|aliens|Aliens (World set 3)|Platform / Shooter Scrolling|Konami|1990|aliens|aliens
aliensj|aliens|Aliens (Japan set 1)|Platform / Shooter Scrolling|Konami|1990|aliens|aliens
aliensj2|aliens|Aliens (Japan set 2)|Platform / Shooter Scrolling|Konami|1990|aliens|aliens
aliensu|aliens|Aliens (US)|Platform / Shooter Scrolling|Konami|1990|aliens|aliens
aliensyn||Alien Syndrome (set 4, System 16B, unprotected)|Maze / Shooter Large|Sega|1987|aliensyn|aliensyn
aligator||Alligator Hunt|Shooter / 3rd Person|Gaelco|1994|aligator|aligator
alleymas||Alley Master|Sports / Bowling|Cinematronics|1986|alleymas|alleymas
alphaho||Alpha Fighter / Head On|Multiplay|Data East Corporation|1969|alphaho|alphaho
alpham2||Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007)|Shooter / Flying Vertical|SNK|1991|alpham2|alpham2
alphamis|aso|Alpha Mission|Shooter / Flying Vertical|SNK|1985|aso|aso
alphaone|mhavoc|Alpha One (prototype, 3 lives)|Shooter / Misc.|Atari|1983|mhavoc|mhavoc
alphaxz|m660|The Alphax Z (Japan)|Shooter / Flying Vertical|Ed Co. Ltd. (Wood Place Inc. license)|1986|m660|m660
alpine||Alpine Ski (set 1)|Sports / Skiing|Taito Corporation|1982|alpine|alpine
alpinea|alpine|Alpine Ski (set 2)|Sports / Skiing|Taito Corporation|1982|alpine|alpine
alpinerc|alpinerd|Alpine Racer (Rev. AR2 Ver.C)|Unplayable|Namco|1994|alpinerd|alpinerd
alpinerd||Alpine Racer (Rev. AR2 Ver.D)|Unplayable|Namco|1994|alpinerd|alpinerd
alpinesa||Alpine Surfer (Rev. AF2 Ver.A)||Namco|1996||
alpinr2b||Alpine Racer 2 (Rev. ARS2 Ver.B)||Namco|1996||
altbeast||Altered Beast (set 8, 8751 317-0078)|Platform / Fighter Scrolling|Sega|1988|altbeast|altbeast
amatelas|amazon|Sei Senshi Amatelass|Shooter / Walking|Nichibutsu|1986|amazon|amazon
amazon||Soldier Girl Amazon|Shooter / Walking|Nichibutsu|1986|amazon|amazon
ambush||Ambush|Shooter / Flying (chase view)|Tecfri|1983|ambush|ambush
ambushv|ambush|Ambush (Volt Electronics)||Tecfri (Volt Electronics license)|1983|ambush|ambush
amerdart||AmeriDarts (set 1)|Sports / Darts|Ameri|1989|amerdart|amerdart
amidar||Amidar|Maze / Outline|Konami|1982|amidar|amidar
amidarb|amidar|Amidar (bootleg)||bootleg|1982|amidar|amidar
amidaro|amidar|Amidar (Olympia)|Maze / Outline|Konami (Olympia license)|1982|amidar|amidar
amidars|amidar|Amidar (Scramble hardware)|Maze / Outline|Konami|1982|amidar|amidar
amidaru|amidar|Amidar (Stern Electronics)|Maze / Outline|Konami (Stern Electronics license)|1982|amidar|amidar
amigo|amidar|Amigo|Maze / Outline|bootleg|1982|amidar|amidar
ampoker2||American Poker II||Novomatic|1990||
amspdwy||American Speedway (set 1)|Driving / Race Track|Enerdyne Technologies Inc.|1987|amspdwy|amspdwy
amspdwya|amspdwy|American Speedway (set 2)|Driving / Race Track|Enerdyne Technologies Inc.|1987|amspdwy|amspdwy
androdun||Andro Dunos (NGM-049)(NGH-049)|Shooter / Flying Horizontal|Visco|1992|androdun|androdun
andromed||Andromeda (Japan?)|Unplayable|IPM|1979|andromed|andromed
angelkds||Angel Kids (Japan)|Climbing|Sega / Nasco?|1988|angelkds|angelkds
animaljr||Exciting Animal Land Jr. (USA)||Nakanihon / East Technology (Taito license)|1993||
anteater||Anteater|Maze|Tago Electronics|1982|anteater|anteater
aodk||Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008)(ADH-008)|Fighter / Versus|ADK / SNK|1994|aodk|aodk
aof||Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044)|Fighter / Versus|SNK|1992|aof|aof
aof2||Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056)|Fighter / Versus|SNK|1994|aof2|aof2
aof2a|aof2|Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056)|Fighter / Versus|SNK|1994|aof2|aof2
aof3||Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden|Fighter / Versus|SNK|1996|aof3|aof3
aof3k|aof3|Art of Fighting 3 - The Path of the Warrior (Korean release)||SNK|1996|aof3|aof3
apache3||Apache 3|Shooter / Flying (chase view)|Tatsumi|1988||
apb||APB - All Points Bulletin (rev 7)|Driving|Atari Games|1987|apb|apb
apb1|apb|APB - All Points Bulletin (rev 1)|Driving|Atari Games|1987|apb|apb
apb2|apb|APB - All Points Bulletin (rev 2)|Driving|Atari Games|1987|apb|apb
apb3|apb|APB - All Points Bulletin (rev 3)|Driving|Atari Games|1987|apb|apb
apb4|apb|APB - All Points Bulletin (rev 4)|Driving|Atari Games|1987|apb|apb
apb5|apb|APB - All Points Bulletin (rev 5)|Driving|Atari Games|1987|apb|apb
apb6|apb|APB - All Points Bulletin (rev 6)|Driving|Atari Games|1987|apb|apb
apbf|apb|APB - All Points Bulletin (French)|Driving|Atari Games|1987|apb|apb
apbg|apb|APB - All Points Bulletin (German)|Driving|Atari Games|1987|apb|apb
aponow|rescue|Apocaljpse Now|Shooter / Flying|bootleg|1982|rescue|rescue
apparel||Apparel Night (Japan 860929)|Tabletop / Mahjong|Central Denshi|1986|apparel|apparel
appoooh||Appoooh|Wrestling|Sanritsu / Sega|1984|appoooh|appoooh
aquajack||Aqua Jack (World)|Shooter / Driving (chase view)|Taito Corporation Japan|1990|aquajack|aquajack
aquarium||Aquarium (Japan)|Puzzle / Drop|Excellent System|1996|aquarium|aquarium
aquarush||Aqua Rush (Japan, AQ1/VER.A1)|Puzzle|Namco|1999|aquarush|aquarush
ar_airh||SportTime Table Hockey (Arcadia, set 1, V 2.1)|Sports|Arcadia Systems|1988||
ar_bios||Arcadia System BIOS|BIOS|Arcadia Systems|1988||
ar_bowl||SportTime Bowling (Arcadia, V 2.1)|Sports / Bowling|Arcadia Systems|1988||
ar_dart||World Darts (Arcadia, set 1, V 2.1)|Sports / Darts|Arcadia Systems|1987||
ar_fast||Magic Johnson's Fast Break (Arcadia, V 2.8)|Sports / Basketball|Arcadia Systems|1988||
ar_ldrb||Leader Board (Arcadia, set 1, V 2.4?)|Sports / Golf|Arcadia Systems|1988||
ar_ldrba|ar_ldrb|Leader Board (Arcadia, set 2, V 2.5)|Sports / Golf|Arcadia Systems|1988||
ar_ninj||Ninja Mission (Arcadia, set 1, V 2.5)|Fighter / 2D|Arcadia Systems|1987||
ar_rdwr||RoadWars (Arcadia, V 2.3)|Shooter / Driving (chase view)|Arcadia Systems|1988||
ar_sdwr||Sidewinder (Arcadia, set 1, V 2.1)|Unplayable|Arcadia Systems|1988||
ar_socc||World Trophy Soccer (Arcadia, V 3.0)||Arcadia Systems|1989||
ar_spot||Spot (Arcadia)|Unplayable|Arcadia Systems|1990||
ar_sprg||Space Ranger (Arcadia, V 2.0)|Unplayable|Arcadia Systems|1987||
ar_xeon||Xenon (Arcadia, V 2.3)|Shooter / Misc. Vertical|Arcadia Systems|1988||
arabfgt||Arabian Fight (World)|Fighter / Field|Sega|1991|arabfgt|arabfgt
arabfgtj|arabfgt|Arabian Fight (Japan)|Fighter / Field|Sega|1991|arabfgt|arabfgt
arabfgtu|arabfgt|Arabian Fight (US)||Sega|1991|arabfgt|arabfgt
arabian||Arabian|Platform / Run Jump|Sun Electronics|1983|arabian|arabian
arabiana|arabian|Arabian (Atari)|Platform / Run Jump|Sun Electronics (Atari license)|1983|arabian|arabian
arabianm||Arabian Magic (Ver 1.0O 1992/07/06)|Fighter / 2.5D|Taito Corporation Japan|1992|arabianm|arabianm
arbalest||Arbalester|Shooter / Flying Vertical|Seta|1989|arbalest|arbalest
arcadecl||Arcade Classics (prototype)|Multiplay|Atari Games|1992|arcadecl|arcadecl
archrivl||Arch Rivals (rev 4.0 6/29/89)|Sports / Basketball|Bally Midway|1989|archrivl|archrivl
area51||Area 51 (R3000)|Shooter / Gun|Atari Games|1996|area51|area51
area51a|area51|Area 51 (Atari Games license)|Shooter / Gun|Atari Games|1995|area51|area51
area51mx||Area 51 / Maximum Force Duo v2.0|Shooter / Gun|Atari Games|1998|area51mx|area51mx
area51t|area51|Area 51 (Time Warner license)|Shooter / Gun|Atari Games (Time Warner license)|1995|area51|area51
area88|unsquad|Area 88 (Japan)|Shooter / Flying Horizontal|Capcom / Daipro|1989|unsquad|unsquad
arescue||Air Rescue|Unplayable|Sega|1992|arescue|arescue
argus||Argus|Shooter / Flying Vertical|NMK (Jaleco license)|1986|argus|argus
argusg||Argus (Gottlieb, prototype)|Shooter / Field|Gottlieb|1984|argusg|argusg
arkangc|arkanoid|Arkanoid (Game Corporation bootleg, set 1)|Breakout|bootleg (Game Corporation)|1986|arkanoid|arkanoid
arkanoid||Arkanoid (World)|Breakout|Taito Corporation Japan|1986|arkanoid|arkanoid
arkarea||Ark Area|Shooter / Field|UPL|1988|arkarea|arkarea
arkatayt|arkanoid|Arkanoid (Tayto bootleg)|Breakout|bootleg (Tayto)|1986|arkanoid|arkanoid
arkatour|arkanoid|Tournament Arkanoid (US)|Breakout|Taito America Corporation (Romstar license)|1987|arkanoid|arkanoid
arkbloc2|arkanoid|Block (Game Corporation bootleg, set 2)|Breakout|bootleg (Game Corporation)|1986|arkanoid|arkanoid
arkblock|arkanoid|Block (Game Corporation bootleg, set 1)|Breakout|bootleg (Game Corporation)|1986|arkanoid|arkanoid
arknoid2||Arkanoid - Revenge of DOH (World)|Breakout|Taito Corporation Japan|1987|arknoid2|arknoid2
arkretrn||Arkanoid Returns (Ver 2.02J 1997/02/10)|Breakout|Taito Corporation|1997|arkretrn|arkretrn
arlingtn||Arlington Horse Racing (v1.21-D)|Sports / Horse Racing|Strata/Incredible Technologies|1991|arlingtn|arlingtn
armchmp2||Arm Champs II v2.6||Jaleco|1992||
armedf||Armed Formation|Shooter / Flying Vertical|Nichibutsu|1988|armedf|armedf
armora||Armor Attack|Maze / Shooter Small|Cinematronics|1980|armora|armora
armorap|armora|Armor Attack (prototype)|Maze / Shooter Small|Cinematronics|1980|armora|armora
armorar|armora|Armor Attack (Rock-Ola)|Maze / Shooter Small|Cinematronics (Rock-Ola license)|1980|armora|armora
armorcar||Armored Car (set 1)|Maze|Stern Electronics|1981|armorcar|armorcar
armwar||Armored Warriors (Euro 941024)|Platform / Fighter Scrolling|Capcom|1994|armwar|armwar
armwara|armwar|Armored Warriors (Asia 940920)|Platform / Fighter Scrolling|Capcom|1994|armwar|armwar
armwarr1|armwar|Armored Warriors (Euro 941011)|Platform / Fighter Scrolling|Capcom|1994|armwar|armwar
armwaru|armwar|Armored Warriors (USA 941024)|Platform / Fighter Scrolling|Capcom|1994|armwar|armwar
armwrest||Arm Wrestling|Sports / Armwrestling|Nintendo|1985|armwrest|armwrest
scessjoe||Success Joe (World)||Wave / Taito Corporation|1990||
ashnojoe|scessjoe|Ashita no Joe (Japan)|Sports / Boxing|Wave / Taito Corporation|1990|ashnojoe|ashnojoe
ashura||Ashura Blaster (World)|Shooter / Flying Vertical|Taito Corporation Japan|1990|ashura|ashura
ashurau|ashura|Ashura Blaster (US)|Shooter / Flying Vertical|Taito America Corporation|1990|ashura|ashura
aso||ASO - Armored Scrum Object|Shooter / Flying Vertical|SNK|1985|aso|aso
assault||Assault|Shooter / Driving|Namco|1988|assault|assault
assaultj|assault|Assault (Japan)|Shooter / Driving|Namco|1988|assault|assault
assaultp|assault|Assault Plus (Japan)|Shooter / Driving|Namco|1988|assault|assault
astdelux||Asteroids Deluxe (rev 3)|Shooter / Field|Atari|1980|astdelux|astdelux
asterix||Asterix (ver EAD)|Fighter / 2.5D|Konami|1992|asterix|asterix
asterock|asteroid|Asterock (bootleg of Asteroids)|Shooter / Field|bootleg (Sidam)|1979|asteroid|asteroid
asteroid||Asteroids (rev 4)|Shooter / Field|Atari|1979|asteroid|asteroid
astinvad|kamikaze|Astro Invader|Shooter / Gallery|Leijac Corporation (Stern Electronics license)|1980|astinvad|astinvad
astorm||Alien Storm (World, 2 Players, FD1094 317-0154)|Platform / Shooter Scrolling|Sega|1990|astorm|astorm
astorm3|astorm|Alien Storm (World, 3 Players, FD1094 317-0148)|Platform / Shooter Scrolling|Sega|1990|astorm|astorm
astormbl|astorm|Alien Storm (bootleg, set 1)|Platform / Shooter Scrolling|bootleg|1990|astorm|astorm
astormj|astorm|Alien Storm (Japan, 2 Players, FD1094 317-0146)|Platform / Shooter Scrolling|Sega|1990|astorm|astorm
astormu|astorm|Alien Storm (US, 3 Players, FD1094 317-0147)|Platform / Shooter Scrolling|Sega|1990|astorm|astorm
astrass||Astra SuperStars (J 980514 V1.002)|Fighter / Versus|Sunsoft|1998|astrass|astrass
astrob||Astro Blaster (version 3)|Shooter / Gallery|Sega|1981|astrob|astrob
astrob1|astrob|Astro Blaster (version 1)|Shooter / Gallery|Sega|1981|astrob|astrob
astrob2|astrob|Astro Blaster (version 2)|Shooter / Gallery|Sega|1981|astrob|astrob
astrob2a|astrob|Astro Blaster (version 2a)|Shooter / Gallery|Sega|1981|astrob|astrob
astrof||Astro Fighter (set 1)|Shooter / Gallery|Data East|1979|astrof|astrof
astrof2|astrof|Astro Fighter (set 2)|Shooter / Gallery|Data East|1979|astrof|astrof
astrof3|astrof|Astro Fighter (set 3)|Shooter / Gallery|Data East|1979|astrof|astrof
astrofl|transfrm|Astro Flash (Japan)|Shooter / Flying Horizontal|Sega|1986|transfrm|transfrm
astyanax||The Astyanax|Platform / Fighter Scrolling|Jaleco|1989|astyanax|astyanax
asuka||Asuka & Asuka (World)|Shooter / Flying Vertical|Taito Corporation|1988|asuka|asuka
asurabld||Asura Blade - Sword of Dynasty (Japan)|Fighter / Versus|Fuuki|1998|asurabld|asurabld
asylum||Asylum (prototype)|Shooter / Walking|Leland Corp.|1991|asylum|asylum
atarifb||Atari Football (revision 2)|Sports / Football Amer.|Atari|1978|atarifb|atarifb
atarifb1|atarifb|Atari Football (revision 1)|Sports / Football Amer.|Atari|1978|atarifb|atarifb
atarifb4|atarifb|Atari Football (4 players)|Sports / Football Amer.|Atari|1979|atarifb|atarifb
ataxx||Ataxx (set 1)|Tabletop|Leland Corp.|1990|ataxx|ataxx
ataxxa|ataxx|Ataxx (set 2)|Tabletop|Leland Corp.|1990|ataxx|ataxx
ataxxj|ataxx|Ataxx (Japan)|Tabletop|Leland Corp.|1990|ataxx|ataxx
atehate||Athena no Hatena ?|Quiz / Japanese|Athena|1993|atehate|atehate
atetris||Tetris (set 1)|Puzzle / Drop|Atari Games|1988|atetris|atetris
atetrisa|atetris|Tetris (set 2)|Puzzle / Drop|Atari Games|1988|atetris|atetris
atetrisb|atetris|Tetris (bootleg set 1)|Puzzle / Drop|bootleg|1988|atetris|atetris
athena||Athena|Platform / Fighter Scrolling|SNK|1986|athena|athena
atlantis||Battle of Atlantis (set 1)|Shooter / Misc. Horizontal|Comsoft|1981|atlantis|atlantis
atlantol|trackfld|Atlant Olimpic|Sports / Track & Field|bootleg|1996|trackfld|trackfld
atluspsx||Atlus PSX|BIOS|Atlus|1996||
atomboy|wilytowr|Atomic Boy (revision B)|Platform / Run Jump Scrolling|Irem (Memetron license)|1985|wilytowr|wilytowr
atomicp||Atomic Point (Korea)|Puzzle / Drop|Philko|1990|atomicp|atomicp
atompunk|dynablst|Atomic Punk (US)|Maze|Irem America (licensed from Hudson Soft)|1991|dynablst|dynablst
atpsx||Atari PSX|BIOS|Atari|1996||
attckufo||Attack Ufo||Ryoto Electric Co.|1980||
aurail||Aurail (set 3, US, unprotected)|Shooter / Driving Vertical|Sega / Westone|1990|aurail|aurail
aurail1|aurail|Aurail (set 2, World, FD1089B 317-0168)|Shooter / Driving Vertical|Sega / Westone|1990|aurail|aurail
aurailj|aurail|Aurail (set 1, Japan, FD1089A 317-0167)|Shooter / Driving Vertical|Sega / Westone|1990|aurail|aurail
av2mj1bb||AV2Mahjong No.1 Bay Bridge no Seijo (Japan)|Tabletop / Mahjong|Miki Syouji / AV Japan|1991|av2mj1bb|av2mj1bb
av2mj2rg||AV2Mahjong No.2 Rouge no Kaori (Japan)|Tabletop / Mahjong|Miki Syouji / AV Japan|1991|av2mj2rg|av2mj2rg
avalnche||Avalanche|Ball & Paddle|Atari|1978|avalnche|avalnche
avengers||Avengers (US set 1)|Fighter / Vertical|Capcom|1987|avengers|avengers
avengrgs||Avengers In Galactic Storm (US)|Fighter / Versus|Data East Corporation|1995|avengrgs|avengrgs
avsp||Alien vs. Predator (Euro 940520)|Fighter / 2.5D|Capcom|1994|avsp|avsp
avspa|avsp|Alien vs. Predator (Asia 940520)|Fighter / 2.5D|Capcom|1994|avsp|avsp
avsph|avsp|Alien vs. Predator (Hispanic 940520)||Capcom|1994|avsp|avsp
avspirit||Avenging Spirit|Platform / Fighter Scrolling|Jaleco|1991|avspirit|avspirit
